Title;Author full names;Year;Author Keywords;Abstract;DOI
Microfluidic reactor enabling wastewater treatment and hydrogen gas production;"Slesinski, A; Gladkova, A; Becker, M; Frackowiak, E";2026;"Disinfection; ELECTROCHEMICAL DEGRADATION; Electrochemical wastewater treatment; Hydrogen production; IBUPROFEN; KINETICS; Microfluidic reactor; OXIDATION; REMOVAL; Two-electron water oxidation";This work presents the novel concept of an electrochemical reactor enabling simultaneous wastewater treatment and hydrogen gas production. The originality evolves from using mesh electrodes for effective streams separation without the need for physical membranes. It is realized by using microfluidic reactor additionally aiming at minimizing the ohmic losses originating from the low conductivity wastewater medium. Synthetic wastewater containing ibuprofen served as a model pollutant. The degradation of ibuprofen was done using mesh (+)Pt@Ti/ SSt(-) electrodes in chronopotentiometry mode using three current density values (1, 10 and 100 mA/cm2). This broad current spectrum enabled to account for the low conductivity medium (1.5 mS/cm) and for reasonable hydrogen production yields at 100 mA/cm2. Additionally, the effect of wastewater electrolyte velocity was investigated (10 and 20 mm/s). The results indicate that the final degradation after 24 h is significant when using various combinations of flow velocity and current and lies in the region of 70-90% of its initial concentration. In fact, the optimal ratio between degradation rate and time which accounts for the lowest ohmic losses is found and commented. In case of hydrogen production, the rational amounts are noted only at higher regimes. Finally, the device for simultaneous wastewater treatment and hydrogen production using low conductivity wastewater feed, although attractive, needs careful selection of parameters to reach justifiable efficiency. Beneficially, the microfluidic construction using mesh electrodes, enables for efficient separation of gaseous products, without the necessity for using physical separation materials.;10.1016/j.jwpe.2026.110213
Photoelectrocatalytic degradation of organic pollutants in wastewater using titania nanotube arrays: a proof-of-concept study;"Li, Y L; Zhu, C S; Jiang, J; Li, L L; Guo, Y F; Hu, J L";2018;"ADSORPTION; DOT SENSITIZED TITANIA; DYE; ELECTRICITY; HYDROGEN GENERATION; Hydrogen generation; Organic degradation; PHOTOCATALYTIC FUEL-CELL; PHOTOELECTROCHEMICAL CELL; Photocurrent density; Photoelectrocatalytic; RHODAMINE-B; THIN-FILM ELECTRODE; TIO2; TiO2 nanotube arrays";This study explored the application of highly ordered TiO2 nanotube arrays in photoelectrocatalytic degradation of organic pollutants. In this proof-of-concept study, model compounds such as ethylene glycol and oxalic acid were used as organics representing pollutants in wastewater. The primary objective of the research was to demonstrate the unique photoelectrocatalytic activity of TiO2 nanotube arrays in degrading organic compounds with an added benefit of hydrogen production that takes place in a same unit of operation. The TiO2 nanotube arrays with controllable properties were synthesized by anodization approach. The TiO2 nanotube arrays possess excellent separation and transport properties for photo-generated electron/hole pair and hence exhibit enhanced photocurrent response and photocatalytic properties for organic compound degradation and hydrogen production. Factors affecting degradation performance were investigated. Results have shown that the pH of electrolyte solution, the chemical property of electrolyte, initial concentration of model pollutants, the redox property of the pollutants, and bias potential were all interrelated that affect the photoelectrocatalytic performance of TiO2 nanotube arrays. For example, when 0.1 M KOH was used as electrolyte in the presence of 0.5 M ethylene glycol solution, the highest current density of 0.04 mA/cm(2) was achieved at bias potential of 0.45 V.;10.5004/dwt.2018.22073
Selenium-Driven Interfacial Engineering of NiMo-Based Electrocatalyst for Efficient Coupled Water Splitting and Urea Oxidation;"Kalusulingam, R; Shim, J H";2025;"BIFUNCTIONAL ELECTROCATALYST; NANOWIRES; NICKEL FOAM; pH-dependent kinetics, overall water splitting,alkaline urea electrolysis; selenium-functionalized NiMoSe/NF electrocatalyst; temperature-dependentkinetics";This study reports the synthesis of a highly efficient and durable bifunctional electrocatalyst, selenium-functionalized NiMo-OH nanosheets (NiMoSe/NF), directly grown on nickel foam (NF) through a two-step hydrothermal process. The resulting rough and interconnected nanosheet morphology significantly enhances electrocatalytic activity toward both oxygen evolution reaction (OER) and hydrogen evolution reaction (HER) in 1.0 M KOH. The NiMoSe/NF electrode delivers low overpotentials of 240 mV for OER and 269 mV for HER at 100 mA cm-2, with measurement conducted in a three-electrode system to distinguish individual half reactions. When assembled into a two-electrode electrolyzer configuration with NiMoSe/NF serving as both the anode and cathode, overall water splitting and urea electrolysis are achieved at cell voltages of 1.58 and 1.46 V, respectively, at 20 mA cm-2. Separate performance analyses were conducted for OER, HER, and UOR to elucidate individual mechanistic contributions. Furthermore, the electrocatalyst demonstrates excellent long-term stability, maintaining consistent performance over 48 h of continuous operation. Postelectrolysis structural characterization confirms phase retention and surface integrity, addressing common concerns about the stability of selenides in oxidative environments. Mechanistic investigations using electrochemical impedance spectroscopy, temperature-dependent kinetics, and pH-dependent activity reveal that selenium incorporation modulates interfacial charge transfer, enhances proton-coupled electron transfer, and reduces activation energy barriers, contributing to improved catalytic performance under both reductive and oxidative conditions. These findings underscore the importance of electronic and structural tuning in boosting catalytic activity and offer a cost-effective, mechanism-driven strategy for designing robust electrocatalysts for sustainable hydrogen production and urea-rich wastewater treatment.;10.1021/acsaem.5c02416
Photoelectrochemical Hydrogen Production from Surfactant-Rich Wastewaters: Proof-of-Concept and Mechanisms Investigation;"Chesini, A; Grandi, S; Caramori, S; Mazzanti, M; Martini, L M; Khan, K; Orlandi, M; Miotello, A";2025;"ANIONIC SURFACTANT; FILM; IMPEDANCE; IRON; MODEL; OXIDATION; REMOVAL; WASTE-WATER";Solar hydrogen production currently employs pure water to prevent side reactions and damage to materials. Nevertheless, pure water is an increasingly valuable resource, and alternative substrates are required. In this work, we investigated a strategy for photoelectrochemical (PEC) solar hydrogen production from surfactant-rich wastewater. Sodium dodecyl sulfate (SDS) was used as a test-surfactant because of (1) its large use in industrial and domestic applications and consequently relevant concentration in wastewaters and (2) its potential suitability as a hole scavenger to enhance H2 production. The working electrode of the PEC cell was a Ti-doped hematite photoanode, fully characterized to obtain information about crystallinity, morphology, and optical properties. Ongoing mineralization of SDS at the photoanode was characterized by the Gas Chromatographic (GC) detection of CO2, with a radical-mediated oxidation mechanism revealed by fluorescence-based methods and Electrochemical Impedance Spectroscopy (EIS). H2 production with simultaneous SDS oxidation and oxygen evolution, at 2.15 V RHE applied voltage, was quantified by GC. With a 1 cm2 electrode, the production rate was 4.6 +/- 0.3 mu mol/h with a power saving efficiency (eta, with respect to dark conditions) of 0.3%. A scale-up to 16.8 cm2 area resulted in 22 +/- 2 mu mol/h with a eta of 0.13%. These results provide a proof-of-concept for the valorization of surfactant-rich wastewaters as solar H2 substrates.;10.1021/acs.jpcc.5c01995
Rational Design of Metallic NiTex (x=1 or 2) as Bifunctional Electrocatalysts for Efficient Urea Conversion;"Wang, Z J; Guo, P; Liu, M; Guo, C; Liu, H J; Wei, S X; Zhang, J; Lu, X Q";2019;"ARRAYS; GRAPHENE OXIDE; HYDROGEN EVOLUTION; NANOSTRUCTURES; NANOTUBES; NI FOAM; NiTe; NiTe2; OXIDATION; REDUCTION; SUPERIOR; WATER; electrocatalyst; graphene oxide; hydrogen evolution; urea oxidation";Electrocatalytic urea conversion (CO(NH2)(2) + H2O -> N-2 + 3H(2) CO2) is a facile and scalable technique for urea-rich wastewater treatment, meanwhile with hydrogen evolution reaction (HER). However, it remains great challenge to develop a bifunctional catalyst for both HER and urea oxidation reaction (UOR) simultaneously due to the torpid kinetics of 6 e(-) transfer during UOR. Here, graphene oxide (GO) induced phase-controlled synthesis of nickel tellurides derived from Ni foam (NF) as freestanding electrocatalysts is reported. Results show that NF-assisted NiTe composited with reduced graphene oxide (rGO) exhibits superior activity for both HER and UOR. With the combined merits of HER and UOR, an efficient electrolyzer with integrated NiTe/rGO/NF was constructed as anode and cathode, representing overall urea decomposition at a low overpotential and even being driven by a commercial cell of 1.5 V. The metallic character and phase dependence of NiTe2 and NiTe toward UOR were simulated by density functional theory (DFT). The collective effects of rGO incorporation in morphology and phase for exposing more active sites and effective electron transport were discussed. It is extended to the direction of human urine conversion as well. Our study provides new insights into robust bifunctional electrocatalysts for urea splitting, which indicates promise for sustainable hydrogen evaluation and wastewater remediation.;10.1021/acsaem.9b00208
A bifunctional electrolyser for energy-efficient hydrogen generation and synchronous HCHO degradation: Influences of H and HCHO adsorption;"Zhang, H M; Yuan, C; Teng, Y R; Cheng, G Y; Han, C Y; Xu, T G; Teng, F";2025;"ANODES; COMPOSITE; CoO/CuO heterojunction; Degradation; ELECTROCATALYSIS; Energy-efficient; FORMALDEHYDE; Formaldehyde wastewater; OXYGEN; PERFORMANCE; POLYHEDRA; WATER OXIDATION; hydrogen generation";Water electrolysis to hydrogen production is highly energy-intensive mainly due to sluggish four-electron oxygen evolution reaction (OER) kinetics. Herein, the CoO/CuO heterojunction, with the higher electrochemically active surface area, molecule adsorption ability and faster electron transfer ability, exhibits the significantly higher hydrogen evolve reaction (HER) and OER activities than that of individual CoO and CuO. Density functional theory (DFT) calculation further confirms that the formation of CoO/CuO heterojunction well optimize the interface electron structure, which is conducive to the adsorptions of H* and CH2O on O sites. Moreover, formaldehyde oxidation reaction (FOR) is employed to substitute for sluggish OER to improve HER. Surprisingly, the cell voltage of FOR electrolyzer (0.614 V) has decreased by 61.2 % at 25 mA cm-2 than OER electrolyzer (1.582 V). To produce the same amount of hydrogen, 61.2% of electric energy can be economized. As a result, the cost of hydrogen production decreases greatly, and the HER efficiency is greatly improved that FOR has faster kinetics than OER. The innovative design is promissing to break through the high energy-extensive issue for water electrolysis to hydrogen generation. Synchronously, 85 % of formaldehyde has been degraded after running for 2 h at 1.5 V. This work provided a win-win strategy for waste water utilization and treatment.;10.1016/j.ijhydene.2024.12.165
Direct oxidation of wastewater degradation and hydrogen production simultaneously by a reverse electrodialysis system powered by salinity gradient energy;"Leng, Q; Li, F L; Ma, Y H; Wang, L; Li, S N; Zhang, C X; Wang, Z W; Wu, X";2025;"CELLS; Direct oxidative degradation; EFFICIENCY; ELECTROCHEMICAL OXIDATION; ELECTRODES; GENERATION; Hydrogen production; Operational mode; PERFORMANCE; PILOT-PLANT; Reverse electrodialysis; Theoretical model";"Reverse electrodialysis (RED) utilizes salinity gradient energy for applications such as hydrogen production and wastewater treatment, offering significant research potential due to its environmentally friendly and pollutionfree characteristics. This paper presents a comprehensive mathematical model for a RED system designed to simultaneously produce hydrogen and degrade organic pollutants, leveraging the RED reactor for both processes. The discrepancies between theoretical predictions and practical observations are analyzed, with a focus on assessing the system's efficiency in both hydrogen production and pollutant degradation. Additionally, optimization strategies for the system's operational modes are proposed. The results indicate that the system's actual output power is constrained by factors such as the performance of the anion and cation exchange membranes and concentration polarization phenomena, leading to lower output than ideal conditions. Notably, increasing the output current significantly enhances both hydrogen production and degradation efficiency. Furthermore, employing a narrower concentration gradient between concentrated and dilute solutions achieves a remarkable hydrogen production efficiency of 9.02 %, while concurrently reducing the energy consumption for degradation to 0.48 kWh & sdot;kg COD- 1. Moreover, by utilizing a serial configuration of RED systems powered by the working solution, the system demonstrates superior energy utilization efficiency, achieving an impressive 6.78 % efficiency.";10.1016/j.jece.2025.116461
Statistical optimization of operating parameters of microbial electrolysis cell treating dairy industry wastewater using quadratic model to enhance energy generation;"Rani, G; Banu, J R; Kumar, G; Yogalakshmi, K N";2022;"BIOGAS PRODUCTION; COD removal efficiency; Dairy industry wastewater; Energy recovery; FUEL-CELL; HRT; HYDROGEN GAS-PRODUCTION; Hydrogen production; IDENTIFICATION; PERFORMANCE; RECOVERY; REMOVAL; Response surface methodology; SINGLE-CHAMBER; VFA; VOLATILE FATTY-ACIDS";The performance of Microbial electrolysis cell (MEC) is affected by several operating con-ditions. Therefore, in the present study, an optimization study was done to determine the working efficiency of MEC in terms of COD (chemical oxygen demand) removal, hydrogen and current generation. Optimization was carried out using a quadratic mathematical model of response surface methodology (RSM). Thirteen sets of experimental runs were performed to optimize the applied voltage and hydraulic retention time (HRT) of single chambered batch fed MEC operated with dairy industry wastewater. The operating con-ditions (i.e) an applied voltage of 0.8 V and HRT of 2 days that showed a maximum COD removal response was chosen for further studies. The MEC operated at optimized condi-tion (HRT-2 days and applied voltage-0.8 V) showed a COD removal efficiency of 95 +/- 2%, hydrogen generation of 32 +/- 5 mL/L/d, Power density of 152 mW/cm2 and current gener-ation of 19 mA. The results of the study implied that RSM, with its high degree of accuracy can be a reliable tool for optimizing the process of wastewater treatment. Also, dairy in-dustry wastewater can be considered to be a potential source to generate hydrogen and energy through MEC at short HRT. (c) 2022 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.;10.1016/j.ijhydene.2022.03.120
Amorphous Ni(III)-based sulfides as bifunctional water and urea oxidation anode electrocatalysts for hydrogen generation from urea-containing water;"Jia, X; Kang, H J; Yang, X X; Li, Y L; Cui, K; Wu, X H; Qin, W; Wu, G";2022;"ARRAYS; CATALYSTS; CO; ENERGY-EFFICIENT; FE; N-DOPED CARBON; NANOCOMPOSITES; NICKEL-HYDROXIDE NANOSHEETS; OXYGEN; Oxygen evolution reaction; STAINLESS-STEEL; Urea oxidation reaction; Water electrolysis; in situ electrochemical tuning";It is highly desired to design high-performance bifunctional electrocatalysts for an efficient oxygen evolution reaction (OER) and urea oxidation reaction (UOR) as anode water electrolysis reactions, which can be used for hydrogen production by using urea-containing water. Herein, a novel electrocatalyst composed of amorphous Ni (OH)S nanosheets was prepared by hydrolysis of NiCl2(CH3CSNH2)4 at room temperature. From spectroscopic characterization and density functional theory (DFT) calculations, the Ni(OH)S catalyst contains a Ni3+-rich phase, which can significantly accelerate the reaction kinetics. The anode electrocatalyst shows excellent OER activity, generating 10 mA cm-2 with only 250 mV overpotentials. When employed as a UOR anode, it could reach 10 mA cm-2 at 1.34 V, 140 mV lower than OER. Notably, the Ni(OH)S/NF anode exhibits decent bifunctional UOR and OER activities and presents the lowest overpotentials compared to a NiFe-PBA/NF UOR catalyst and a typical RuO2/NF OER catalyst. This work provides a novel strategy for synthesizing amorphous Ni (III)-based sulfides nanosheets for bifunctional OER/UOR electrocatalysts, which is significant for efficient and stable hydrogen production by using urea-containing wastewater.;10.1016/j.apcatb.2022.121389
Electrospinning fabrication of sulfophobic Mo-NiS2/CNFs for energy-saving sulfur valorization coupled hydrogen production in anion exchange membrane electrolyzer;"Zheng, X Y; Li, X; Pang, H J; Wei, T T; Ma, X; Yang, C M; Zhen, Y Z; Liang, Y C";2025;"CARBON NANOFIBERS; CATALYSTS; ELECTROCATALYSTS; EVOLUTION; PH; RECONSTRUCTION; WATER; anion exchange membrane electrolyzer; dual functional energy-saving model; hydrogen production; sulfion oxidation reaction";The sulfion oxidation reaction (SOR) has enormous potential in replacing slow kinetic oxygen evolution reactions and treating sulfur-containing wastewater. However, the sulfur aggregation generated by SOR will lead to a decline in SOR activity. Herein, an electrospinning-carbonization-vulcanization technique is introduced to fabricate Mo-NiS2-co-embedded carbon nanofibers (Mo-NiS2/CNFs). The integration of molybdenum promotes sulfophobicity of Mo-NiS2/CNFs, and can thus effectively prevent its activity from being deactivated by sulfur deposition on the electrode surface during SOR, thereby improving catalytic activity and long-term stability. In particular, Mo-NiS2/CNFs showed a distinguished durability at 100 mA cm-2 at least 100 h. In-situ Raman spectra tracked the evolution and oxidation conversion of S2- to short-chain polysulfides (S22--S42-), ultimately to value-added S8. Density functional theory calculations unveiled that the introduction of Mo efficiently regulated the d-band center of NiS2, reduced the energy barrier in the rate-determining step from S22- to S32- and the Gibbs free energy of H* adsorption, and thereby significantly promoted SOR and hydrogen evolution reaction (HER). Mo-NiS2/CNFs-based anion exchange membrane water electrolyzer for HER and SOR achieved a current density of 500 mA cm-2 at 1.78 V for continuous H2 and S8 productions. Such a coupling system performed an ultra-low power consumption of 2.127 kW h m-3 H2 at 500 mA cm-2, showing an energy-saving hydrogen production and high desulfurization ability for environmental protection and remediation.;10.1007/s11426-024-2527-5
An integrated solar energy, wastewater treatment and desalination plant for hydrogen and freshwater production;"Demir, M E; Dincer, I";2022;"Cost analysis; Desalination; ELECTRO-FENTON; ELECTRODIALYSIS; Hydrogen production; MEMBRANES; PEROXIDE; Photovoltaics; Solar energy; Waste water treatment";In this paper, a cost analysis study is undertaken for a commercial-scale hydrogen production and wastewater treatment plant, aiming to produce 1000 kg of hydrogen and treat 222 m(3) of wastewater per day. The present cost-analysis model considers the technological and economic implications of central and forecourt hydrogen generation technologies. The model employs a photoelectrochemical solar concentrator system with heliostats/concentrators to concentrate solar irradiation at a 10:1 intensity ratio onto multi junction photovoltaic/photoelectrochemical cell receivers submerged in an electrolyte reservoir and pressured to 20.7 bar. The photovoltaic cells are connected electrically to an electrolyte reserve and treat wastewater on the anode side using Fenton-like processes while generating H-2 on the cathode side. Then, the chemical oxygen demand-free wastewater is delivered to the electrodialysis plant for desalination, acid and alkaline production purposes. The concentrated light driven photoelectrochemical H-2 generation facility with a design capacity of 1,053 kg/day is used in the scale-up analyses. The cost of hydrogen is calculated to be $5.25/kg, excluding the profits obtained from the acid, alkaline and freshwater production. The yearly benefit from wastewater treatment is estimated as $81,030, respectively.;10.1016/j.enconman.2022.115885
A Generalized Model for Complex Wastewater Treatment with Simultaneous Bioenergy Production Using the Microbial Electrochemical Cell;"Alavijeh, M K; Mardanpour, M M; Yaghmaei, S";2015;"ANODE; BACTERIA; BIOFILMS; Conduction-based mechanism; ELECTRICITY; ELECTROLYSIS CELL; FUEL-CELL; GENERATION; HYDROGEN; MATHEMATICAL-MODEL; METHANOGENESIS; Microbial electrolysis cell; Microbial fuel cell; Modeling; Wastewater treatment";"The objective of this study was to construct a novel model to be applied in a general manner to simulate microbial electrochemical cells (MXCs); for both microbial fuel cell (MFC) and microbial electrolysis cell (MEC). The liquid bulk was modeled based on the organic matters degradation to acetate via the anaerobic digestion process. Biofilm simulation was established based upon one-dimensional distribution and the dynamical electron transfer was completed by means of the conduction-based mechanism. We, for the first time, introduced biofilm local potential modeling for MEC simulation with general and simplified linear boundary conditions. The MFC-related part of the model was evaluated based on the experimental results from a gluconic acid-fed MFC with various simulated variables of liquid bulk and biofilm such as, bulk concentrations, distributions of microbial volume fractions and local potential in the biofilm, and biofilm thickness. The MEC-related part of the model with simplified linear boundary condition was assessed by the MEC experimental data fed with potato wastewater as the complex substrate. The MEC performance as an energy carrier generator was characterized based on the hydrogen production rate evolution, the variations of microbial distributions, and methane production at different applied potential differences. In addition, polarization characteristics were simulated and discussed based on the experimental results. These valuations showed that the presented model is successfully able to predict both MFC and MEC performance. (C) 2015 Elsevier Ltd. All rights reserved.";10.1016/j.electacta.2015.03.133
Construction of Nitrogen-Doped Biphasic Transition-Metal Sulfide Nanosheet Electrode for Energy-Efficient Hydrogen Production via Urea Electrolysis;"Xie, H; Feng, Y F; He, X Y; Zhu, Y; Li, Z Y; Liu, H H; Zeng, S Y; Qian, Q Z; Zhang, G Q";2023;"ARRAYS; ELECTROCATALYSTS; N-doped cobalt-nickel sulfide; OXIDATION; hydrogen evolution; urea electrolysis; urea oxidation";Urea-assisted hybrid water splitting is a promising technology for hydrogen (H-2) production, but the lack of cost-effective electrocatalysts hinders its extensive application. Herein, it is reported that Nitrogen-doped Co9S8/Ni3S2 hybrid nanosheet arrays on nickel foam (N-Co9S8/Ni3S2/NF) can act as an active and robust bifunctional catalyst for both urea oxidation reaction (UOR) and hydrogen evolution reaction (HER), which could drive an ultrahigh current density of 400 mA cm(-2) at a low working potential of 1.47 V versus RHE for UOR, and gives a low overpotential of 111 mV to reach 10 mA cm(-2) toward HER. Further, a hybrid water electrolysis cell utilizing the synthesized N-Co9S8/Ni3S2/NF electrode as both the cathode and anode displays a low cell voltage of 1.40 V to reach 10 mA cm(-2), which can be powered by an AA battery with a nominal voltage of 1.5 V. The density functional theory (DFT) calculations decipher that N-doped heterointerfaces can synergistically optimize Gibbs free energy of hydrogen and urea, thus accelerating the catalytic kinetics of HER and UOR. This work significantly advances the development of the promising cobalt-nickel-based sulfide as a bifunctional electrocatalyst for energy-saving electrolytic H-2 production and urea-rich innocent wastewater treatment.;10.1002/smll.202207425
Simultaneous hydrogen generation and wastewater purification: An innovative closed-loop reverse electrodialysis system incorporating air-gap diffusion distillation;"Leng, Q; Li, F L; Luo, Z F; Wang, L; Zheng, K X; Wang, Z W; Wu, X";2024;"ACID ORANGE 7; Air-gap diffusion distillation; BORON-DOPED DIAMOND; ELECTROCHEMICAL OXIDATION; ELECTROLYSIS; ENERGY GENERATION; EXERGY ANALYSIS; Hydrogen generation; MULTIEFFECT DISTILLATION; PERFORMANCE; POWER-GENERATION; Reverse electrodialysis; SALINITY GRADIENTS; Theoretical model; Wastewater purification";"Air-gap diffusion distillation (AGDD) is a thermal distillation technology that can convert low-grade heat sources into salinity gradient energy, offering broad application potential. Since the AGDD system operates under atmospheric pressure, it can be seamlessly integrated with reverse electrodialysis (RED) technology, facilitating the conversion of low-grade thermal energy into electricity, hydrogen, and chemical energy. This paper constructs, for the first time, an AGDD-RED mathematical model that simultaneously achieves hydrogen generation and wastewater purification. Accordingly, the influence behaviors of the concentration of AGDD feed solution (0.5 mol & sdot;L-1-5 mol & sdot;L-1) and low-grade heat source temperature (55-95 degrees C) on hydrogen generation performance and degradation efficiency are simulated and discussed. At a feed concentration of 3 M, hydrogen generation and COD degradation rates achieve their peak values of 0.19 kW and 46.4 %, respectively. At 55 degrees C, the degradation rate and hydrogen generation reach their highest values, at 47.1 % and 0.2 kW, with the total energy conversion efficiency reaching 1.65 %. Finally, the energy distribution of the entire system is analyzed, and the results show that the salinity gradient energy regeneration process in the AGDD subsystem is the key factor affecting the efficiency of the system. Reducing pump power consumption and non-ohmic resistance in the RED subsystem will effectively improve the energy conversion performance of the system.";10.1016/j.enconman.2024.119209
Nitrogen doped carbon fiber supported nickel phosphide for efficient electrocatalytic overall urea splitting;"Ren, L P; Yang, D; Li, J Q; Li, H S; Yang, J H";2023;"BIFUNCTIONAL ELECTROCATALYST; Carbon fiber; FOAM; HYDROXIDE; Hydrogen evolution reaction; LDH; N doping; Nickel phosphide; OXIDATION; Urea oxidation reaction; WATER";Urea oxidation reaction (UOR) is expected to be one of the effective means to replace oxygen evolution reaction (OER) in specific urea-containing wastewater treatment field. The synchronization of urea electrooxidation and hydrogen production has become an increasingly attractive energy development way. However, UOR faces the challenges of relatively sluggish kinetics and catalyst activity degradation. Here, nitrogen-doped carbon fiber supported nickel phosphide (Ni5P4/NCF-400) is developed as a bifunctional self-supporting electrocatalyst, which is synthesized by electrodeposition and high temperature nitriding. The HER overpotential of Ni5P4/NCF-400 in alkaline medium is 77 mV at 10 mA cm-2, the Tafel value is 98.04 mV dec-1, and the activity does not decrease significantly after continuous hydrogen evolution for 24 h. The UOR potential is 1.376 V at 100 mA cm-2, the Tafel value is 16.45 mV dec-1, and can steadily work at 1.38 V for 48 h. Moreover, Ni5P4/NCF-400 is assembled into a water-urea electrolytic cell device, which could achieve a current density of 40 mA cm-2 at a voltage of 1.67 V and achieve the stability of the catalytic system for 24 h. The excellent electrocatalytic per-formance of Ni5P4/NCF-400 is attributed to N doping and abundant active sites.;10.1016/j.apsusc.2023.157173
Layered La-Ni Ruddlesden-Popper nickelates enabling fast kinetics and energy-efficient wastewater-to-hydrogen conversion;"Khan, H; Kar, A; Ganguli, A K";2026;"CATALYSTS; Electrochemical urea oxidation; HER; OXIDE; PEROVSKITES; Ruddlesden-Popper phase nickelates; UOR; UREA OXIDATION";Ruddlesden-Popper (RP) nickelates have emerged as robust functional oxides for electrocatalytic energy applications due to their layered structures and tunable electronic properties. In this work, La3Ni2O7 (n = 2) and La4Ni3O10 (n = 3) were synthesized via a polymeric citrate precursor route calcined at 1000 degrees C. Powder X-Ray diffraction (P-XRD) and Rietveld Refinement studies confirmed phase formation and orthorhombic structure having space group of Amam for La3Ni2O7 and Fmmm for La4Ni3O10, with lattice parameters in good agreement with literature. EDS studies corroborated with P-XRD analysis. X-Ray Photoelectron Spectroscopy (XPS) confirmed the oxidation states of Ni and La. Electrochemical urea-assisted hydrogen production showed that La4Ni3O10 outperforms both La3Ni2O7 and benchmark IrO2 as a bifunctional electrocatalyst for the urea oxidation reaction (UOR) and hydrogen evolution reaction (HER). It delivers a current density of 10 mA cm-2 at 1.31 V vs. RHE in 1 M KOH + 0.33 M urea, along with favorable Tafel slopes and low charge-transfer resistance as confirmed by electrochemical impedance spectroscopy (EIS). Post-electrocatalytic studies confirmed retention of the RP structure in P-XRD pattern, while scanning electron microscopy (SEM) revealed morphological transformation due to surface reconstruction. These findings underscore the structural robustness and bifunctional electrocatalytic potential of La4Ni3O10 for energy-efficient urea-assisted hydrogen production.;10.1016/j.ijhydene.2026.154434
Sustainable and energy-saving hydrogen production via binder-free and in situ electrodeposited Ni-Mn-S nanowires on Ni-Cu 3-D substrates;"Darband, G B; Iravani, D; Zhang, M L; Maleki, M; Huang, S R; Khoshfetrat, S M; Andaveh, R; Li, J Y";2025;"BIFUNCTIONAL ELECTROCATALYST; CATALYST; EVOLUTION REACTION; GRAPHENE; HIGHLY EFFICIENT; NANOARRAY; NANOSHEETS; OXIDATION; TEMPLATE; UREA";"Electrochemical water splitting, with its oxygen evolution reaction (OER) and hydrogen evolution reaction (HER), is undoubtedly the most eco-friendly and sustainable method to produce hydrogen. However, water splitting still requires improvement due to the high energy consumption caused by the slow kinetics and large thermodynamic potential requirements of OER. Urea-water electrolysis has become increasingly appealing compared to water-splitting because of the remarkable decline in the cell potential in the hydrogen production process and less energy consumption; it also offers a favorable opportunity to efficiently treat wastewater containing a significant amount of urea. In this work, Ni-Mn-S/Ni-Cu nano-micro array electrocatalysts were synthesized by a two-step and binder-free electrochemical deposition technique and investigated as an effective electrode for the HER and urea oxidation reaction (UOR). According to the electrochemical results, the optimized electrode (Ni-Mn-S/Ni-Cu/10) showed excellent electrocatalytic activity for the HER (64 mV overpotential to achieve the current density of 10 mA cm-2 and Tafel slope of 81 mV dec-1) in alkaline solution. When Ni-Mn-S/Ni-Cu/10 is employed as a UOR anode in an alkaline solution containing urea, it achieves a current density of 10 mA cm-2 at 1.247 V vs. RHE. In addition, when the optimized sample was utilized as a bi-functional electrode for overall urea-water electrolysis (HER-UOR), the cell voltage reached 1.302 V at 10 mA cm-2 (which is 141 mV less than that for HER-OER). The electrocatalytic stability results unequivocally revealed small changes in voltage during a 24 h test and showed good durability. This non-noble metal electrocatalyst, prepared by the electrodeposition synthesis method, is a promising solution to implement low-cost hydrogen production and wastewater treatment.";10.1039/d4nr03486d
Lattice-expanded NiSe catalyst via lanthanum incorporation for accelerating urea electrooxidation in assisting water electrolysis;"Zhang, Q; Ma, H J; Han, R B; Yang, T L; Chen, Z H; Zhu, M Y; Shi, J W; Cai, W W; Yang, F Q; Yang, Z H";2026;"Bifunctional electrocatalyst; Lanthanum doping; Nickelous selenide; PERFORMANCE; Urea electrooxidation; Water electrolysis";"Developing bifunctional electrocatalysts for energy-efficient urea oxidation reaction (UOR) and hydrogen evolution reaction (HER) is critical for sustainable hydrogen production and wastewater remediation, yet hindered by sluggish kinetics and insufficient active sites. Herein, we propose demonstrate that lanthanum (La) doping effectively activates nickel selenide (NiSe) by inducing lattice expansion-substituting smaller Ni2+ (0.69 & Aring;) with larger La3+ ion (1.16 & Aring;)-thereby modulating its electronic structure. The optimized La-NiSe-2 catalyst exhibits markedly enhanced UOR and HER performance: it achieves a UOR current density of 213 mA cm-2 at 1.6 V vs. RHE (twice that of pristine NiSe) and requires only 135 mV overpotential for HER at -10 mA cm-2, with a Tafel slope of 78 mV dec-1. Operando electrochemical impedance spectroscopy and density functional theory calculations reveal that La incorporation enhances charge transfer and strengthens urea adsorption. This work highlights rare-earth-mediated electronic modulation as a viable strategy for designing high-performance bifunctional catalysts for urea-assisted energy and environmental applications. (c) 2026, Dalian Institute of Chemical Physics, Chinese Academy of Sciences. Published by Elsevier B.V. All rights reserved.";10.1016/S1872-2067(26)65054-1
